Year,Age,Sex,Population
1973,20-24,Male,116.1
1973,20-24,Female,111.3
1973,25-29,Male,95.7
1973,25-29,Female,92.9
1973,30-34,Male,85.1
1973,30-34,Female,82.2
1973,35-39,Male,79.3
1973,35-39,Female,76.7
1973,40-44,Male,77.8
1973,40-44,Female,76.8
1973,45-49,Male,79.3
1973,45-49,Female,79.4
1973,50-54,Male,79.1
1973,50-54,Female,78.5
1973,55-59,Male,78.0
1973,55-59,Female,76.9
1973,60-64,Male,68.2
1973,60-64,Female,67.0
1973,65-69,Male,57.0
1973,65-69,Female,60.0
1973,70-74,Male,44.9
1973,70-74,Female,54.1
1973,75-79,Male,28.1
1973,75-79,Female,35.4
1973,80-84,Male,15.5
1973,80-84,Female,21.3
1973,85+,Male,8.1
1973,85+,Female,13.2
1974,00,Male,34.3
1974,00,Female,32.8
1974,01-04,Male,133.1
1974,01-04,Female,126.5
1974,05-09,Male,168.4
1974,05-09,Female,161.0
1974,10-14,Male,159.7
1974,10-14,Female,153.0
1974,15-19,Male,146.0
1974,15-19,Female,139.8
1974,20-24,Male,119.4
1974,20-24,Female,114.5
1974,25-29,Male,99.9
1974,25-29,Female,97.0
1974,30-34,Male,89.5
1974,30-34,Female,86.2
1974,35-39,Male,81.4
1974,35-39,Female,78.4
1974,40-44,Male,78.5
1974,40-44,Female,77.0
1974,45-49,Male,79.2
1974,45-49,Female,78.7
1974,50-54,Male,78.7
1974,50-54,Female,78.3
1974,55-59,Male,77.8
1974,55-59,Female,77.2
1974,60-64,Male,68.2
1974,60-64,Female,67.5
1974,65-69,Male,58.3
1974,65-69,Female,61.4
1974,70-74,Male,45.1
1974,70-74,Female,53.9
1974,75-79,Male,28.3
1974,75-79,Female,36.1
1974,80-84,Male,15.4
1974,80-84,Female,21.6
1974,85+,Male,8.1
1974,85+,Female,13.3
1975,00,Male,34.9
1975,00,Female,33.1
1975,01-04,Male,134.6
1975,01-04,Female,128.2
1975,05-09,Male,170.9
1975,05-09,Female,163.1
1975,10-14,Male,162.5
1975,10-14,Female,155.4
1975,15-19,Male,149.4
1975,15-19,Female,143.0
1975,20-24,Male,122.8
1975,20-24,Female,117.8
1975,25-29,Male,104.3
1975,25-29,Female,101.2
1975,30-34,Male,94.1
1975,30-34,Female,90.4
1975,35-39,Male,83.6
1975,35-39,Female,80.1
1975,40-44,Male,79.4
1975,40-44,Female,77.3
1975,45-49,Male,79.1
1975,45-49,Female,78.1
1975,50-54,Male,78.3
1975,50-54,Female,78.1
1975,55-59,Male,77.7
1975,55-59,Female,77.5
1975,60-64,Male,68.3
1975,60-64,Female,68.1
1975,65-69,Male,59.7
1975,65-69,Female,62.9
1975,70-74,Male,45.3
1975,70-74,Female,53.8
1975,75-79,Male,28.6
1975,75-79,Female,36.8
1975,80-84,Male,15.4
1975,80-84,Female,21.9
1975,85+,Male,8.1
1975,85+,Female,13.5
1976,00,Male,34.6
1976,00,Female,32.8
1976,01-04,Male,136.8
1976,01-04,Female,130.3
1976,05-09,Male,173.1
1976,05-09,Female,165.0
1976,10-14,Male,165.2
1976,10-14,Female,157.6
1976,15-19,Male,152.7
1976,15-19,Female,146.0
1976,20-24,Male,126.1
1976,20-24,Female,121.0
1976,25-29,Male,108.7
1976,25-29,Female,105.3
1976,30-34,Male,98.7
1976,30-34,Female,94.6
1976,35-39,Male,85.7
